theta1: -0.005913, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -69.230652

theta1: -0.005913, omega1: -3.296661
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -67.033005

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -69.230652

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -64.834976

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -69.230652

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -67.033005

theta1: -0.005913, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -69.230652

theta1: -0.005913, omega1: -3.296661
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -62.637329

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -67.033005

theta1: -0.005913, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -64.834976

theta1: -0.006294, omega1: -62.637329
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 20.878983

theta1: -0.007439, omega1: -137.362671
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 100.000000

theta1: -0.009727, omega1: -165.933990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 152.747345

theta1: -0.011635, omega1: -170.329666
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 192.307663

theta1: -0.013924, omega1: -170.329666
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 231.867981

theta1: -0.015831, omega1: -159.340668
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 256.044006

theta1: -0.018120, omega1: -170.329666
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 282.417694

theta1: -0.020409, omega1: -183.516312
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 304.395691

theta1: -0.022697, omega1: -179.121017
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 313.186646

theta1: -0.024986, omega1: -174.725342
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 313.186646

theta1: -0.027275, omega1: -183.516312
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 321.977997

theta1: -0.029945, omega1: -187.911987
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 310.989014

theta1: -0.032235, omega1: -183.516312
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 304.395691

theta1: -0.034524, omega1: -172.527313
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 300.000000

theta1: -0.036813, omega1: -163.736343
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 291.208649

theta1: -0.038720, omega1: -159.340668
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 282.417694

theta1: -0.041009, omega1: -150.549316
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 273.626343

theta1: -0.042916, omega1: -152.747345
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 260.439697

theta1: -0.044824, omega1: -150.549316
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 247.252655

theta1: -0.046731, omega1: -139.560318
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 234.066010

theta1: -0.048257, omega1: -130.769348
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 218.681335

theta1: -0.049783, omega1: -121.977997
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 207.692337

theta1: -0.051309, omega1: -117.582321
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 198.900986

theta1: -0.052835, omega1: -115.384674
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 190.110016

theta1: -0.054360, omega1: -108.791351
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 181.318665

theta1: -0.055886, omega1: -97.802353
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 170.329666

theta1: -0.057031, omega1: -86.813354
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 161.538315

theta1: -0.058175, omega1: -89.011002
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 152.747345

theta1: -0.058938, omega1: -75.824356
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 146.154022

theta1: -0.060082, omega1: -75.824356
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 132.966995

theta1: -0.061227, omega1: -78.022003
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 124.175644

theta1: -0.061990, omega1: -64.834976
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 124.175644

theta1: -0.062753, omega1: -64.834976
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 108.791351

theta1: -0.063516, omega1: -53.845978
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 106.593323

theta1: -0.064279, omega1: -62.637329
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 102.197647

theta1: -0.065042, omega1: -49.450684
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 93.406677

theta1: -0.065804, omega1: -56.044006
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 89.011002

theta1: -0.066567, omega1: -42.856979
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 84.615326

theta1: -0.066949, omega1: -38.461685
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 73.626328

theta1: -0.067712, omega1: -47.252655
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 71.428680

theta1: -0.068093, omega1: -40.659332
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 69.230652

theta1: -0.068475, omega1: -27.472687
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 64.834976

theta1: -0.068856, omega1: -38.461685
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 60.439682

theta1: -0.069238, omega1: -36.263657
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 60.439682

theta1: -0.069619, omega1: -23.077011
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 60.439682

theta1: -0.070001, omega1: -12.088013
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 53.845978

theta1: -0.070001, omega1: -18.681335
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 47.252655

theta1: -0.070382, omega1: -27.472687
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 45.055008

theta1: -0.070764, omega1: -27.472687
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 36.263657

theta1: -0.071145, omega1: -18.681335
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 40.659332

theta1: -0.071145, omega1: -5.494690
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 40.659332

theta1: -0.071145, omega1: -3.296661
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 34.066010

theta1: -0.071145, omega1: -5.494690
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 36.263657

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 29.670334

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 31.867981

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 23.077011

theta1: -0.071145, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 27.472687

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 29.670334

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 23.077011

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 18.681335

theta1: -0.071145, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 20.878983

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 23.077011

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 25.274658

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 25.274658

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 12.088013

theta1: -0.071145, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 5.494690

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 12.088013

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 5.494690

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 16.483688

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 16.483688

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 16.483688

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 5.494690

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -5.494690

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -3.296661

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -3.296661

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -7.692337

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -3.296661

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -3.296661
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
