theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.527473

theta1: -0.011635, omega1: -1.703297
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.923077

theta1: -0.013924, omega1: -1.703297
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 2.318680

theta1: -0.015831, omega1: -1.593407
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 2.560440

theta1: -0.018120, omega1: -1.703297
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 2.824177

theta1: -0.020409, omega1: -1.835163
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 3.043957

theta1: -0.022697, omega1: -1.791210
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 3.131866

theta1: -0.024986, omega1: -1.747253
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 3.131866

theta1: -0.027275, omega1: -1.835163
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 3.219780

theta1: -0.029945, omega1: -1.879120
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 3.109890

theta1: -0.032235, omega1: -1.835163
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 3.043957

theta1: -0.034524, omega1: -1.725273
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 3.000000

theta1: -0.036813, omega1: -1.637363
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 2.912086

theta1: -0.038720, omega1: -1.593407
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 2.824177

theta1: -0.041009, omega1: -1.505493
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 2.736263

theta1: -0.042916, omega1: -1.527473
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 2.604397

theta1: -0.044824, omega1: -1.505493
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 2.472527

theta1: -0.046731, omega1: -1.395603
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 2.340660

theta1: -0.048257, omega1: -1.307693
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 2.186813

theta1: -0.049783, omega1: -1.219780
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 2.076923

theta1: -0.051309, omega1: -1.175823
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.989010

